gen,eval,cost,f_disp,f_vel,sigma,elapsed_s,diverged,friction_gnd_cush,friction_gnd_paper,cush_solref_0,cush_solref_1,cush_solimp_0,cush_solimp_1,cush_solimp_2,cog_x,cog_y,cog_z,plasticity_ratio,cush_yield_pressure,plastic_hardening_modulus
0,1,0.164482,0.217309,0.111655,0.25000,32.8,False,0.10014,0.358073,0.000488861,1.50214,0.142094,0.81821,0.0290453,-0.00962732,-0.0169236,0.0152924,0.50363,4816.71,5592.07
0,2,0.147140,0.233875,0.060405,0.25000,23.4,False,0.553124,0.857351,0.00455247,0.77239,0.0772564,0.8673,0.0050456,0.0203137,0.033907,-0.00180032,0.498205,2359.6,8247.18
0,3,0.135211,0.202115,0.068307,0.25000,24.5,False,0.871663,1.43057,0.000945859,1.74321,0.191924,0.998895,0.0221083,-0.00747539,0.00229409,-0.0485907,0.256613,2346.26,288027
0,4,0.135978,0.206379,0.065578,0.25000,24.3,False,0.453822,0.315964,0.000458607,1.43482,0.140273,0.9104,0.0361135,0.002427,0.0242169,-0.0175519,0.235284,917.839,1602.72
0,5,0.112137,0.167556,0.056719,0.25000,24.2,False,0.840657,0.824002,0.00100798,0.88857,0.0443856,0.918556,0.0134793,-0.0200575,-0.00403227,0.0101016,0.672536,1866.68,50236
0,6,0.136862,0.195098,0.078626,0.25000,22.3,False,0.664638,0.22142,0.000959643,1.02861,0.401752,0.935621,0.0283013,-0.000867818,-0.0292178,0.0285716,0.448512,4040.63,4859.28
0,7,0.151228,0.216381,0.086075,0.25000,21.8,False,1.36633,0.102231,0.00248875,1.99218,0.0104778,0.907668,0.0224314,-0.0125872,-0.0387678,0.00171413,0.0901869,2714.86,4762.63
0,8,0.117851,0.172600,0.063101,0.25000,22.3,False,1.43622,0.327953,0.000606303,1.38643,0.0234334,0.967003,0.088544,-0.0401882,0.00461599,0.00649729,0.454416,318.518,2134.13
0,9,0.149604,0.231661,0.067547,0.25000,18.4,False,0.947922,0.841068,0.00147577,1.16456,0.0199303,0.967361,0.0280265,-0.0178593,0.0465104,0.0118462,0.0647085,3414.18,4263.93
0,10,0.119475,0.179518,0.059432,0.25000,22.0,False,1.07387,1.25034,0.000279413,1.45761,0.150566,0.998895,0.0879352,-0.00613487,-0.018844,-0.0222386,0.138871,1361.9,59387
1,11,0.136012,0.192940,0.079083,0.23389,32.4,False,0.724929,0.78966,0.0228474,0.528061,0.0123808,0.923439,0.0881689,0.000968188,-0.0158333,-0.0213096,0.530978,601.995,7471.45
1,12,0.137140,0.201069,0.073210,0.23389,28.3,False,1.17242,0.499393,0.000281449,1.51084,0.13731,0.979751,0.0706126,-0.0241478,0.0368751,0.00301255,0.605086,3499.14,9612.63
1,13,0.135563,0.188965,0.082161,0.23389,30.9,False,1.84318,1.93369,0.000376058,0.794467,0.172941,0.827264,0.0493094,-0.00229546,-0.0441836,0.00685194,0.292739,335.425,17411.7
1,14,0.147620,0.183205,0.112034,0.23389,26.8,False,1.27445,0.433074,0.0024309,0.982875,0.105755,0.902465,0.0236743,-0.0360294,0.0091789,0.0395266,0.262564,415.337,108145
1,15,0.110606,0.166731,0.054482,0.23389,33.0,False,1.49001,0.569659,0.000298373,0.527756,0.145896,0.90068,0.0122517,-0.0251887,-0.00119213,0.0101663,0.431468,1053.17,324.666
1,16,0.185971,0.211552,0.160389,0.23389,27.8,False,1.48486,1.54322,0.0023955,1.31126,0.0435679,0.989967,0.0119934,-0.0024597,-0.00355834,0.0272034,0.411416,4043.72,59375
1,17,0.144944,0.229521,0.060366,0.23389,26.7,False,1.00523,0.531989,0.00223203,0.244275,0.0538194,0.990787,0.00619967,-0.0478303,0.0497809,0.0456197,0.73499,612.837,82549.9
1,18,0.134500,0.204863,0.064138,0.23389,30.9,False,0.453866,0.294005,0.000187872,1.24485,0.055904,0.87056,0.0662897,-0.0100122,0.0226079,-0.0105322,0.758214,2443.75,74331.9
1,19,0.156251,0.223514,0.088987,0.23389,27.2,False,1.16211,1.42567,0.00468887,1.42169,0.0579067,0.973303,0.00713721,-0.046851,-0.0248087,-0.0072807,0.619113,2475.83,2301.11
1,20,0.114038,0.170819,0.057256,0.23389,28.9,False,1.08517,0.124114,0.00071268,1.0731,0.0190028,0.904735,0.0390545,-0.0199096,-0.0113267,-0.0245422,0.272065,558.227,17999.8
