gen,eval,cost,f_disp,f_vel,sigma,elapsed_s,diverged,C1_disp,C1_vel,C2_disp,C2_vel,C3_disp,C3_vel,C4_disp,C4_vel,C5_disp,C5_vel,C6_disp,C6_vel,C7_disp,C7_vel,C8_disp,C8_vel,friction_gnd_cush,cush_solref_0,cush_solref_1,p_solref_0,p_solref_1,cush_solimp_0,cush_solimp_1,cush_solimp_2,cog_x,cog_y,cog_z,plasticity_ratio,cush_yield_pressure,plastic_hardening_modulus,initial_tilt_deg,initial_tilt_azimuth_deg
0,1,0.187316,0.278897,0.095735,0.25000,51.3,False,0.333888,0.140799,0.467741,0.066454,0.105054,0.100719,0.179218,0.126968,0.234490,0.036261,0.374928,0.027093,0.376587,0.083149,0.159268,0.184435,0.10014,-34664.5,-221.555,-1611.21,-55.2437,0.0869758,0.974226,0.00962124,-0.00338469,0.00305847,0.00515516,0.483934,524.229,16155.4,0.165639,0.487795
0,2,0.161505,0.241668,0.081342,0.25000,40.6,False,0.194184,0.192505,0.458915,0.079417,0.077363,0.040858,0.144077,0.006242,0.183486,0.022100,0.244255,0.008593,0.438791,0.137103,0.192274,0.163918,0.472392,-13779.9,-675.704,-78244.9,-24.5809,0.266142,0.944617,0.134655,0.00180823,-0.00322569,0.00180703,0.603773,1434.17,267427,-0.89007,0.410971
0,3,0.148381,0.235905,0.060858,0.25000,44.0,False,0.211953,0.148545,0.417516,0.082254,0.089568,0.006051,0.157027,0.007480,0.143170,0.008069,0.264066,0.022710,0.416709,0.069779,0.187233,0.141972,0.741347,-16759.3,-85.3452,-64462.8,-146.136,0.143747,0.967425,0.00746989,-0.00404257,-0.00250886,0.00457715,0.364931,772.465,83813.2,0.0485409,0.484345
0,4,0.158581,0.258295,0.058868,0.25000,41.3,False,0.268378,0.120788,0.418434,0.042585,0.113322,0.009211,0.183086,0.005572,0.163961,0.009161,0.328491,0.009466,0.406464,0.094755,0.184223,0.179404,0.366525,-17609.5,-196.826,-98953.7,-59.9663,0.13198,0.950382,0.0128065,-0.00707703,-0.00210329,-0.00171363,0.141545,1225.59,67354.9,0.938483,0.087293
0,5,0.176683,0.256192,0.097173,0.25000,59.2,False,0.225728,0.180951,0.311415,0.136007,0.170330,0.055822,0.211638,0.080199,0.186393,0.016644,0.275346,0.045080,0.428596,0.090908,0.240094,0.171776,0.822336,-11371.9,-2748.45,-10468.5,-90.1212,0.401752,0.935621,0.0354723,-0.000173563,-0.00584355,0.00571429,0.448512,4040.61,4859.33,0.701428,-0.700958
0,6,0.168149,0.260280,0.076018,0.25000,43.9,False,0.234206,0.180429,0.292731,0.124238,0.165232,0.006437,0.207829,0.007636,0.197830,0.010335,0.306871,0.034457,0.442747,0.081202,0.234793,0.163413,0.978757,-227.59,-553.231,-26590.5,-84.19,0.0383233,0.834086,0.0227831,-0.00531165,0.00236803,-0.00459726,0.606123,562.299,15745.2,0.406776,-0.615461
0,7,0.180164,0.260067,0.100261,0.25000,58.1,False,0.230138,0.186548,0.278806,0.138603,0.171157,0.061004,0.212212,0.088923,0.189260,0.028554,0.315654,0.047230,0.439558,0.087849,0.243754,0.163375,0.808043,-1046.26,-1605.54,-7269.81,-63.8389,0.195775,0.857536,0.00162663,0.00260977,0.00148497,0.0012525,0.368426,639.924,47755.5,0.146543,-0.357192
0,8,0.179350,0.255517,0.103183,0.25000,48.6,False,0.230520,0.192684,0.285978,0.134181,0.158579,0.075185,0.203132,0.124607,0.191452,0.025392,0.306871,0.045306,0.432070,0.077366,0.235531,0.150742,1.58624,-4411.89,-782.498,-3217.96,-538.295,0.196419,0.990416,0.00420476,0.004817,0.00206396,0.00411043,0.674629,1103.04,6635.7,-0.444777,-0.407924
0,9,0.178751,0.261894,0.095608,0.25000,31.6,False,0.268609,0.119177,0.470277,0.090876,0.107809,0.053068,0.185542,0.100598,0.163394,0.029410,0.327601,0.042543,0.396312,0.092271,0.175610,0.236917,0.663377,-5547.98,-62.0127,-2396.66,-97.7796,0.278061,0.930217,1.95603,0.00312841,-0.00428591,-0.00535463,0.395292,1133.75,125260,0.236629,-0.0364162
0,10,0.195456,0.283081,0.107832,0.25000,33.4,False,0.340309,0.143093,0.468966,0.078026,0.109311,0.116197,0.186153,0.162331,0.237002,0.037417,0.379076,0.033652,0.379702,0.089248,0.164131,0.202690,0.297773,-99926.3,-216.216,-2278.74,-69.092,0.0248165,0.962946,0.0415933,-0.0044194,0.000768647,0.000291053,0.0742556,2348.24,92176.5,0.541549,0.526926
