Material,Stiffness_k,COR_0.0,COR_0.1,COR_0.2,COR_0.3,COR_0.4,COR_0.5,COR_0.6,COR_0.7,COR_0.8,COR_0.9,COR_1.0
Steel,120000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,1465.8636,1564.9506,1664.2408,1763.6654,1862.3906
Aluminum,42000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,1465.8636,1564.9506,1664.2408,1763.6654,1862.3906
Copper,72000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,1465.8636,1564.9506,1664.2408,1763.6654,1862.3906
Glass,42000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,1465.8636,1564.9506,1664.2408,1763.6654,1862.3906
Plastic_PC,1380.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,1465.8636,1564.9506,1664.2408,1763.6654,1862.3906
TPU_Plastic,60.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,1465.8636,1564.9506,1664.2408,1763.6654,1862.3906
Hard_Rubber,30.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,1465.8636,1564.9506,1664.2408,1763.6654,1862.3906
Soft_Rubber,5.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,1465.8636,1564.9506,1664.2408,1763.6654,1862.3906
Paper_Stack,120.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,1465.8636,1564.9506,1664.2408,1763.6654,1862.3906
EPS_Foam,6.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,1465.8636,1564.9506,1664.2408,1763.6654,1862.3906
PSA_Adhesive,5.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,1465.8636,1564.9506,1664.2408,1763.6654,1862.3906
