Material,COR_0.0,Calc_Stiffness(k),COR_0.2,COR_0.4,COR_0.6,COR_0.8
Steel,10000.0,100000.0,10000.0,10000.0,1465.8637,1664.241
Aluminum,10000.0,35000.0,10000.0,10000.0,1465.8637,1664.241
Copper,10000.0,60000.0,10000.0,10000.0,1465.8637,1664.241
Glass,10000.0,35000.0,10000.0,10000.0,1465.8637,1664.241
Plastic_PC,10000.0,1150.0,10000.0,10000.0,1465.8637,1664.241
TPU,10000.0,50.0,10000.0,10000.0,1465.8637,1664.241
Hard_Rubber,10000.0,25.0,10000.0,10000.0,1465.8637,1664.241
Soft_Rubber,10000.0,10.0,10000.0,10000.0,1465.8637,1664.241
Paper,10000.0,100.0,10000.0,10000.0,1465.8637,1664.241
EPS_Foam,10000.0,10.0,10000.0,10000.0,1465.8637,1664.241
PSA_Tape,10000.0,10.0,10000.0,10000.0,1465.8637,1664.241
