name,inch,pkg_size,pkg_m,set_w_std_size,set_w_std_m,set_wo_std_size,set_wo_std_m,stand_base
S95F(OLED),55,1625 x 935 x 170,39.8,1444 x 894 x 268,29.0,1444 x 829 x 11.0,18.9,360 x 268
S95F(OLED),77,1893 x 1153 x 185,54.0,1717 x 1048 x 286,10.0,1717 x 984 x 11.2,20.2,360 x 286
S90F(OLED),48,1197 x 770 x 143,17.8,1069 x 683 x 210,13.2,1069 x 620 x 39.6,12.3,584 x 210
S90F(OLED),55,1385 x 832 x 153,22.9,1225 x 774 x 265,17.3,1225 x 709 x 39.9,16.0,366 x 265
S90F(OLED),65,1617 x 950 x 160,29.9,1444 x 897 x 265,22.5,1444 x 832 x 39.9,21.2,366 x 265
S90F(OLED),77,1885 x 1154 x 180,45.9,1719 x 1059 x 359,36.6,1719 x 988 x 44.9,34.8,366 x 359
S85F(OLED),55,1383 x 832 x 147,17.0,1225 x 765 x 235,12.6,1225 x 706 x 33.9,12.2,897 x 235
S85F(OLED),65,1617 x 950 x 160,22.7,1444 x 897 x 263,16.5,1444 x 829 x 33.9,16.1,953 x 263
QN90F(Neo QLED),43,1163 x 668 x 140,17.5,960 x 620 x 221,13.4,960 x 559 x 28,9.4,518 x 221
QN90F(Neo QLED),50,1318 x 767 x 140,21.5,1114 x 705 x 220,17.6,1114 x 645 x 28,13.5,519 x 220
QN90F(Neo QLED),55,1448 x 826 x 170,26.2,1227 x 767 x 236,20.6,1227 x 706 x 28,17.7,369 x 236
QN90F(Neo QLED),65,1623 x 935 x 185,35.4,1445 x 892 x 272,27.5,1445 x 828 x 28,24.2,391 x 272
QN90F(Neo QLED),75,1885 x 1118 x 191,50.2,1669 x 1016 x 302,39.7,1669 x 958 x 28,34.1,417 x 302
QN90F(Neo QLED),85,2141 x 1245 x 231,63.3,1892 x 1143 x 320,49.9,1892 x 1082 x 28,43.5,417 x 320
QN90F(Neo QLED),98,2370 x 1420 x 274,92.7,2185 x 1306 x 365,70.6,2185 x 1249 x 31,61.4,479 x 365
QN80F(Neo QLED),50,1241 x 744 x 142,17.0,1114 x 699 x 239,13.3,1114 x 644 x 48,12.9,967 x 239
QN80F(Neo QLED),55,1352 x 813 x 148,22.0,1228 x 764 x 247,17.2,1228 x 706 x 47,16.4,264 x 247
QN80F(Neo QLED),65,1593 x 930 x 158,30.9,1447 x 886 x 279,23.7,1447 x 829 x 47,22.7,314 x 279
QN80F(Neo QLED),75,1822 x 1075 x 169,42.2,1671 x 1016 x 332,33.5,1671 x 958 x 47,32.2,355 x 332
QN80F(Neo QLED),85,2056 x 1200 x 178,54.1,1893 x 1138 x 367,42.2,1893 x 1083 x 48,40.6,375 x 367
QN70F(Neo QLED),55,1369 x 819 x 142,19.7,1233 x 766 x 247,15.0,1233 x 709 x 26,14.2,264 x 247
QN70F(Neo QLED),65,1597 x 933 x 148,29.1,1452 x 890 x 279,21.8,1452 x 832 x 26,20.8,314 x 279
QN70F(Neo QLED),75,1815 x 1080 x 164,40.3,1678 x 1016 x 332,30.9,1678 x 961 x 27,29.6,355 x 332
QN70F(Neo QLED),85,2059 x 1200 x 171,53.9,1902 x 1144 x 367,42.3,1902 x 1087 x 27,40.7,375 x 367
U8000F(Crystal UHD),43,1070 x 650 x 123,9.0,958 x 609 x 157,6.6,958 x 559 x 76,6.4,613 x 157
U8000F(Crystal UHD),50,1228 x 743 x 127,12.0,1111 x 695 x 199,8.3,1111 x 644 x 76,8.0,747 x 199
U8000F(Crystal UHD),55,1354 x 810 x 127,14.4,1225 x 759 x 199,9.9,1225 x 708 x 77,9.6,813 x 199
U8000F(Crystal UHD),58,1421 x 846 x 135,17.5,1286 x 800 x 222,12.3,1286 x 749 x 77,12.0,883 x 222
U8000F(Crystal UHD),65,1578 x 930 x 142,21.0,1444 x 882 x 222,14.5,1444 x 831 x 77,14.2,1005 x 222
U8000F(Crystal UHD),70,1755 x 1056 x 164,28.5,1567 x 926 x 280,19.4,1567 x 876 x 77,19.0,1123 x 280
U8000F(Crystal UHD),75,1820 x 1100 x 164,31.0,1668 x 1006 x 280,22.8,1668 x 958 x 77,22.4,1250 x 280
U8000F(Crystal UHD),85,2075 x 1200 x 171,40.7,1890 x 1133 x 326,29.2,1890 x 1084 x 77,28.7,1411 x 326
Frame Pro(LS03FW),65,1598 x 933 x 164,32.3,1457 x 867 x 257,22.0,1457 x 837 x 25,21.8,1042 x 257
Frame Pro(LS03FW),75,1834 x 1082 x 171,40.5,1685 x 995 x 320,30.9,1685 x 965 x 27,30.7,1244 x 320
Frame Pro(LS03FW),85,2068 x 1200 x 178,53.7,1904 x 1127 x 369,41.1,1904 x 1091 x 27,40.8,1410 x 369
